"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp1B_S19","RF0A0",0,0,7.22,1,2.78651311999998
"Exp1B_S19","RF8A2",8,0.1,8.27,2,4.57996068000001
"Exp1B_S19","RF10A2",10,0.1,8.79,3,22.45019267
"Exp1B_S19","RF14A2",14,0.1,10.01,4,18.5357995200001
"Exp1B_S19","RF20A2",20,0.1,12.12,5,31.0198293499999
"Exp1B_S19","RF8A5",8,0.25,12.16,6,4.17814090000002
"Exp1B_S19","RF10A5",10,0.25,14.08,7,8.29975351
"Exp1B_S19","RF14A5",14,0.25,18.18,8,14.46997047
"Exp1B_S19","RF20A5",20,0.25,24.63,9,3.26196588000002
"Exp1B_S19","RF8A10",8,0.5,20.4,10,3.01108635000003
"Exp1B_S19","RF10A10",10,0.5,24.73,11,2.27637564000001
"Exp1B_S19","RF14A10",14,0.5,33.57,12,2.36788043999998
"Exp1B_S19","RF20A10",20,0.5,47.08,13,2.02778325999996
"Exp1B_S2","RF0A0",0,0,7.22,1,3.64240821999996
"Exp1B_S2","RF8A2",8,0.1,8.27,2,54.17983495
"Exp1B_S2","RF10A2",10,0.1,8.79,3,38.96890324
"Exp1B_S2","RF14A2",14,0.1,10.01,4,66.39358009
"Exp1B_S2","RF20A2",20,0.1,12.12,5,57.03276608
"Exp1B_S2","RF8A5",8,0.25,12.16,6,21.90466646
"Exp1B_S2","RF10A5",10,0.25,14.08,7,26.79382418
"Exp1B_S2","RF14A5",14,0.25,18.18,8,10.50107887
"Exp1B_S2","RF20A5",20,0.25,24.63,9,2.73345286999999
"Exp1B_S2","RF8A10",8,0.5,20.4,10,5.10446359000003
"Exp1B_S2","RF10A10",10,0.5,24.73,11,2.65824152
"Exp1B_S2","RF14A10",14,0.5,33.57,12,3.37695998999995
"Exp1B_S2","RF20A10",20,0.5,47.08,13,2.96273230999998
"Exp1B_S3","RF0A0",0,0,7.22,1,11.8074108
"Exp1B_S3","RF8A2",8,0.1,8.27,2,80.80278055
"Exp1B_S3","RF10A2",10,0.1,8.79,3,33.50209249
"Exp1B_S3","RF14A2",14,0.1,10.01,4,39.3043972399999
"Exp1B_S3","RF20A2",20,0.1,12.12,5,15.98397002
"Exp1B_S3","RF8A5",8,0.25,12.16,6,21.00945557
"Exp1B_S3","RF10A5",10,0.25,14.08,7,38.66108429
"Exp1B_S3","RF14A5",14,0.25,18.18,8,12.87400049
"Exp1B_S3","RF20A5",20,0.25,24.63,9,21.84878091
"Exp1B_S3","RF8A10",8,0.5,20.4,10,6.21448755000009
"Exp1B_S3","RF10A10",10,0.5,24.73,11,12.00275028
"Exp1B_S3","RF14A10",14,0.5,33.57,12,8.48152187999981
"Exp1B_S3","RF20A10",20,0.5,47.08,13,3.27102208000002
"Exp1B_S4","RF0A0",0,0,7.22,1,13.6144894
"Exp1B_S4","RF8A2",8,0.1,8.27,2,17.5836211999999
"Exp1B_S4","RF10A2",10,0.1,8.79,3,25.16790758
"Exp1B_S4","RF14A2",14,0.1,10.01,4,18.3334031
"Exp1B_S4","RF20A2",20,0.1,12.12,5,3.57513059999996
"Exp1B_S4","RF8A5",8,0.25,12.16,6,15.6818015
"Exp1B_S4","RF10A5",10,0.25,14.08,7,10.1638101299999
"Exp1B_S4","RF14A5",14,0.25,18.18,8,3.87568980999998
"Exp1B_S4","RF20A5",20,0.25,24.63,9,2.46565191000002
