"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp3_S1","RF20A2",5,20,0.1,12.12,1,1,1,3.6645277,1
"Exp3_S1","RF14A10",12,14,0.5,33.57,1,2,1,0.9170811,1
"Exp3_S1","RF20A10",13,20,0.5,47.08,1,3,1,1.2367787,1
"Exp3_S1","RF8A10",10,8,0.5,20.4,1,4,1,2.0487006,1
"Exp3_S1","RF8A2",2,8,0.1,8.27,1,5,1,5.7286206,1
"Exp3_S1","RF20A5",9,20,0.25,24.63,1,6,1,0.7939739,1
"Exp3_S1","RF10A2",3,10,0.1,8.79,1,7,1,4.2117679,1
"Exp3_S1","RF14A2",4,14,0.1,10.01,1,8,1,2.8442341,1
"Exp3_S1","RF14A5",8,14,0.25,18.18,1,9,1,2.4784363,1
"Exp3_S1","RF10A5",7,10,0.25,14.08,1,10,1,1.6073175,1
"Exp3_S1","RF10A10",11,10,0.5,24.73,1,11,1,1.1747801,1
"Exp3_S1","RF8A5",6,8,0.25,12.16,1,12,1,0.7123986,1
"Exp3_S1","RF0A0",1,0,0,7.22,1,13,1,1.2434032,1
"Exp3_S1","RF8A2",2,8,0.1,8.27,2,14,1,20.2599101,1
"Exp3_S1","RF0A0",1,0,0,7.22,2,15,1,1.1712014,1
"Exp3_S1","RF14A10",12,14,0.5,33.57,2,16,1,1.1160436,1
"Exp3_S1","RF10A2",3,10,0.1,8.79,2,17,1,3.0176306,1
"Exp3_S1","RF10A5",7,10,0.25,14.08,2,18,1,1.7665008,1
"Exp3_S1","RF14A2",4,14,0.1,10.01,2,19,1,1.1724853,1
"Exp3_S1","RF10A10",11,10,0.5,24.73,2,20,1,1.7887859,1
"Exp3_S1","RF20A5",9,20,0.25,24.63,2,21,1,0.8067368,1
"Exp3_S1","RF8A5",6,8,0.25,12.16,2,22,1,3.4526199,1
"Exp3_S1","RF20A10",13,20,0.5,47.08,2,23,1,0.9551204,1
"Exp3_S1","RF14A5",8,14,0.25,18.18,2,24,1,0.9194564,1
"Exp3_S1","RF20A2",5,20,0.1,12.12,2,25,1,5.8811602,1
"Exp3_S1","RF8A10",10,8,0.5,20.4,2,26,1,1.4266955,1
"Exp3_S1","RF20A2",5,20,0.1,12.12,1,1,2,12.2642527,1
"Exp3_S1","RF14A10",12,14,0.5,33.57,1,2,2,1.5249803,1
"Exp3_S1","RF20A10",13,20,0.5,47.08,1,3,2,1.8128383,1
"Exp3_S1","RF8A10",10,8,0.5,20.4,1,4,2,2.5925068,1
"Exp3_S1","RF8A2",2,8,0.1,8.27,1,5,2,9.1368117,1
"Exp3_S1","RF20A5",9,20,0.25,24.63,1,6,2,1.3856776,1
"Exp3_S1","RF10A2",3,10,0.1,8.79,1,7,2,11.5794744,1
"Exp3_S1","RF14A2",4,14,0.1,10.01,1,8,2,3.3879267,1
"Exp3_S1","RF14A5",8,14,0.25,18.18,1,9,2,4.1901289,1
"Exp3_S1","RF10A5",7,10,0.25,14.08,1,10,2,2.3431617,1
"Exp3_S1","RF10A10",11,10,0.5,24.73,1,11,2,1.6549071,1
"Exp3_S1","RF8A5",6,8,0.25,12.16,1,12,2,1.3284889,1
"Exp3_S1","RF0A0",1,0,0,7.22,1,13,2,2.2195527,1
"Exp3_S1","RF8A2",2,8,0.1,8.27,2,14,2,52.9636677,1
"Exp3_S1","RF0A0",1,0,0,7.22,2,15,2,1.7390948,1
"Exp3_S1","RF14A10",12,14,0.5,33.57,2,16,2,1.8201218,1
