"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp2A_S1","RF5A5",8,5,0.25,7.64,1,1,1,5.80184270000001,1,-7.82321816215533,13.9432070629126
"Exp2A_S1","RF4A5",7,4,0.25,7.04,1,2,1,2.92839029999999,1,-7.80034987988713,2.02521100844088
"Exp2A_S1","RF8A2",5,8,0.1,7.52,1,3,1,2.52249519999998,1,5.81676437136217,10.2220190960584
"Exp2A_S1","RF4A10",11,4,0.5,8.2,1,4,1,2.61755170000004,1,0.932050697510189,-0.315126582625528
"Exp2A_S1","RF5A10",12,5,0.5,9.5,1,5,1,3.95139380000001,1,6.3027967332124,-7.6348801576593
"Exp2A_S1","RF0A0",1,0,0,7.22,1,6,1,3.39275340000006,1,-11.4431939600423,-3.72399352602253
"Exp2A_S1","RF4A2",3,4,0.1,6.83,1,7,1,3.36231550000002,1,-9.08404534706345,-0.27667189003002
"Exp2A_S1","RF8A5",9,8,0.25,9.72,1,8,1,2.19171949999998,1,-11.1457100723892,11.9508779942765
"Exp2A_S1","RF3A5",6,3,0.25,6.53,1,9,1,5.33410789999994,1,-15.2609822712596,-6.50604156524889
"Exp2A_S1","RF3A2",2,3,0.1,6.72,1,10,1,2.06527889999984,1,0.893418276091186,-6.50958373970496
"Exp2A_S1","RF5A2",4,5,0.1,6.97,1,11,1,5.12502929999982,1,-8.57863276554468,8.60924613099303
"Exp2A_S1","RF3A10",10,3,0.5,6.99,1,12,1,3.49021200000016,1,13.0020891601567,9.17449966537951
"Exp2A_S1","RF8A10",13,8,0.5,13.67,1,13,1,1.40837669999996,1,4.30486582133075,12.2633030917123
"Exp2A_S1","RF0A0",1,0,0,7.22,2,14,1,1.28927079999994,1,-3.0818819393675,15.1495873783295
"Exp2A_S1","RF5A2",4,5,0.1,6.97,2,15,1,1.5068053,1,-6.91806012910447,14.5551139582339
"Exp2A_S1","RF3A2",2,3,0.1,6.72,2,16,1,10.4266157,1,14.1314988928604,-1.00205007606159
"Exp2A_S1","RF8A2",5,8,0.1,7.52,2,17,1,2.47045220000018,1,-11.6207656515424,-2.85004996701619
"Exp2A_S1","RF4A10",11,4,0.5,8.2,2,18,1,2.77386750000005,1,11.8377562095917,2.13205998906582
"Exp2A_S1","RF8A5",9,8,0.25,9.72,2,19,1,1.67995670000028,1,-5.28778808473601,-15.2137797120677
"Exp2A_S1","RF4A2",3,4,0.1,6.83,2,20,1,2.95112000000017,1,-13.9476706741165,-12.9022388618756
"Exp2A_S1","RF5A10",12,5,0.5,9.5,2,21,1,1.31024930000012,1,7.90678724293117,5.99934289410781
"Exp2A_S1","RF3A5",6,3,0.25,6.53,2,22,1,2.07502430000022,1,1.30566213341413,-13.0740367457165
"Exp2A_S1","RF3A10",10,3,0.5,6.99,2,23,1,1.61890010000025,1,2.48241146308466,-10.0668910735137
"Exp2A_S1","RF5A5",8,5,0.25,7.64,2,24,1,0.970608300000094,1,4.69077327435794,-5.62608758662411
"Exp2A_S1","RF4A5",7,4,0.25,7.04,2,25,1,0.950534500000231,1,-12.3938642452649,3.67474199862998
"Exp2A_S1","RF8A10",13,8,0.5,13.67,2,26,1,1.98638329999994,1,-2.29530965214534,-12.6578064235087
"Exp2A_S1","RF5A5",8,5,0.25,7.64,1,1,2,7.21020040000002,1,6.17792670242752,10.6133396744987
"Exp2A_S1","RF4A5",7,4,0.25,7.04,1,2,2,3.97650199999998,1,2.62281032008245,7.29601875260155
"Exp2A_S1","RF8A2",5,8,0.1,7.52,1,3,2,4.68177329999997,1,15.9987753708602,-7.45457715254349
"Exp2A_S1","RF4A10",11,4,0.5,8.2,1,4,2,11.1456413,1,1.25459362077165,-12.5907342324286
"Exp2A_S1","RF5A10",12,5,0.5,9.5,1,5,2,6.16504409999999,1,-14.8320176779105,-9.31254167088359
"Exp2A_S1","RF0A0",1,0,0,7.22,1,6,2,4.00984840000001,1,-5.26052196754225,-1.3234994814874
"Exp2A_S1","RF4A2",3,4,0.1,6.83,1,7,2,7.41860780000002,1,-0.98043222655733,11.7815180890309
"Exp2A_S1","RF8A5",9,8,0.25,9.72,1,8,2,4.39115449999997,1,1.6723559216193,-14.7516247923615
"Exp2A_S1","RF3A5",6,3,0.25,6.53,1,9,2,23.5577731,1,5.32390457212936,-14.7001162149932
"Exp2A_S1","RF3A2",2,3,0.1,6.72,1,10,2,2.91373069999986,1,6.56854107047033,5.91299723155191
"Exp2A_S1","RF5A2",4,5,0.1,6.97,1,11,2,11.4927385999999,1,-5.72355791348159,-6.20714773532906
"Exp2A_S1","RF3A10",10,3,0.5,6.99,1,12,2,9.97862550000013,1,10.0528051853214,-9.80138406541513
"Exp2A_S1","RF8A10",13,8,0.5,13.67,1,13,2,2.11250519999999,1,12.5687716594893,-2.98864865474738
"Exp2A_S1","RF0A0",1,0,0,7.22,2,14,2,1.94505439999989,1,6.42189209970492,4.11927557789949
"Exp2A_S1","RF5A2",4,5,0.1,6.97,2,15,2,2.07552740000006,1,3.29453522629088,-0.784052587274694
"Exp2A_S1","RF3A2",2,3,0.1,6.72,2,16,2,20.71361,1,-15.3350116534484,2.92876747390452
"Exp2A_S1","RF8A2",5,8,0.1,7.52,2,17,2,4.03915340000003,1,5.26855138035181,-4.39454537104543
"Exp2A_S1","RF4A10",11,4,0.5,8.2,2,18,2,3.30959829999983,1,14.2913210899295,-7.77201507597542
"Exp2A_S1","RF8A5",9,8,0.25,9.72,2,19,2,2.22258230000034,1,-14.1813803982002,-12.5485331845996
"Exp2A_S1","RF4A2",3,4,0.1,6.83,2,20,2,6.56656000000021,1,-15.6366606707767,1.00699380433921
"Exp2A_S1","RF5A10",12,5,0.5,9.5,2,21,2,2.11175270000012,1,15.8248555522971,-9.98706147859744
"Exp2A_S1","RF3A5",6,3,0.25,6.53,2,22,2,39.7558996000002,1,0.740713947813049,2.34280481392442
"Exp2A_S1","RF3A10",10,3,0.5,6.99,2,23,2,2.49797250000029,1,8.50751949595504,-3.98382357343241
"Exp2A_S1","RF5A5",8,5,0.25,7.64,2,24,2,1.54547049999974,1,-12.5051264493939,-8.6269219974403
"Exp2A_S1","RF4A5",7,4,0.25,7.04,2,25,2,2.00618050000003,1,6.7493763225511,-6.52357115182856
"Exp2A_S1","RF8A10",13,8,0.5,13.67,2,26,2,6.83536559999993,1,-10.9214404106421,1.80464753050674
"Exp2A_S1","RF5A5",8,5,0.25,7.64,1,1,3,10.8416659,1,-14.8909266392889,-0.772701559379772
"Exp2A_S1","RF4A5",7,4,0.25,7.04,1,2,3,6.40001549999999,1,8.7467151218183,-3.98144892767348
