"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp4_S1","RF14A5",8,14,0.25,14.55,1,1,1,2.6622096,1
"Exp4_S1","RF10A2",3,10,0.1,8,1,2,1,1.4624987,1
"Exp4_S1","RF8A5",6,8,0.25,9.72,1,3,1,1.8793201,1
"Exp4_S1","RF20A2",5,20,0.1,11.03,1,4,1,2.9145286,1
"Exp4_S1","RF10A5",7,10,0.25,11.26,1,5,1,1.5435652,1
"Exp4_S1","RF14A2",4,14,0.1,9.1,1,6,1,8.0047856,1
"Exp4_S1","RF0A0",1,0,0,7.22,1,7,1,2.4479784,1
"Exp4_S1","RF20A10",13,20,0.5,31.54,1,8,1,1.3386436,1
"Exp4_S1","RF10A10",11,10,0.5,16.57,1,9,1,2.1223395,1
"Exp4_S1","RF14A10",12,14,0.5,22.49,1,10,1,2.6831538,1
"Exp4_S1","RF8A10",10,8,0.5,13.67,1,11,1,1.3806571,1
"Exp4_S1","RF8A2",2,8,0.1,7.52,1,12,1,1.4302474,1
"Exp4_S1","RF20A5",9,20,0.25,19.71,1,13,1,1.2780343,1
"Exp4_S1","RF10A5",7,10,0.25,11.26,2,14,1,3.3511067,1
"Exp4_S1","RF8A5",6,8,0.25,9.72,2,15,1,2.3930291,1
"Exp4_S1","RF10A10",11,10,0.5,16.57,2,16,1,1.3379286,1
"Exp4_S1","RF14A5",8,14,0.25,14.55,2,17,1,1.5074407,1
"Exp4_S1","RF20A10",13,20,0.5,31.54,2,18,1,1.2550095,1
"Exp4_S1","RF20A2",5,20,0.1,11.03,2,19,1,1.2625713,1
"Exp4_S1","RF14A10",12,14,0.5,22.49,2,20,1,1.0768488,1
"Exp4_S1","RF8A2",2,8,0.1,7.52,2,21,1,2.9484488,1
"Exp4_S1","RF0A0",1,0,0,7.22,2,22,1,1.6605175,1
"Exp4_S1","RF10A2",3,10,0.1,8,2,23,1,6.2124997,1
"Exp4_S1","RF14A2",4,14,0.1,9.1,2,24,1,1.2702561,1
