"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp1_S21","RF0A0",0,0,7.22,1,14.1670188200001
"Exp1_S21","RF3A2",3,0.1,7.38,2,14.8460273899999
"Exp1_S21","RF4A2",4,0.1,7.51,3,5.31724456999998
"Exp1_S21","RF5A2",5,0.1,7.66,4,11.33811898
"Exp1_S21","RF8A2",8,0.1,8.27,5,25.83379381
"Exp1_S21","RF3A5",3,0.25,8.17,6,36.2716365400001
"Exp1_S21","RF4A5",4,0.25,8.8,7,10.9268182099999
"Exp1_S21","RF5A5",5,0.25,9.55,8,13.50576791
"Exp1_S21","RF8A5",8,0.25,12.16,9,26.39198562
"Exp1_S21","RF3A10",3,0.5,10.43,10,27.9876647599999
"Exp1_S21","RF4A10",4,0.5,12.24,11,21.4906835400001
"Exp1_S21","RF5A10",5,0.5,14.18,12,13.7832985200001
"Exp1_S21","RF8A10",8,0.5,20.4,13,4.62063452
"Exp1_S1","RF0A0",0,0,7.22,1,29.20833053
"Exp1_S1","RF3A2",3,0.1,7.38,2,18.7454407799999
"Exp1_S1","RF4A2",4,0.1,7.51,3,20.88521432
"Exp1_S1","RF5A2",5,0.1,7.66,4,9.79364578999995
"Exp1_S1","RF8A2",8,0.1,8.27,5,48.12079757
"Exp1_S1","RF3A5",3,0.25,8.17,6,32.6390459100001
"Exp1_S1","RF4A5",4,0.25,8.8,7,4.82170653999992
"Exp1_S1","RF5A5",5,0.25,9.55,8,8.29709919999999
"Exp1_S1","RF8A5",8,0.25,12.16,9,16.7446201500001
"Exp1_S1","RF3A10",3,0.5,10.43,10,4.79578004999993
"Exp1_S1","RF4A10",4,0.5,12.24,11,3.22362620000009
"Exp1_S1","RF5A10",5,0.5,14.18,12,6.67837587999993
"Exp1_S1","RF8A10",8,0.5,20.4,13,8.34546957000001
"Exp1_S22","RF0A0",0,0,7.22,1,8.82042610000004
"Exp1_S22","RF3A2",3,0.1,7.38,2,15.1473015199998
"Exp1_S22","RF4A2",4,0.1,7.51,3,7.77900321999991
"Exp1_S22","RF5A2",5,0.1,7.66,4,13.6483952699999
"Exp1_S22","RF8A2",8,0.1,8.27,5,44.2899885599999
"Exp1_S22","RF3A5",3,0.25,8.17,6,16.9379677100001
"Exp1_S22","RF4A5",4,0.25,8.8,7,52.72595002
"Exp1_S22","RF5A5",5,0.25,9.55,8,31.02472983
"Exp1_S22","RF8A5",8,0.25,12.16,9,20.7913308499999
"Exp1_S22","RF3A10",3,0.5,10.43,10,13.26593357
"Exp1_S22","RF4A10",4,0.5,12.24,11,5.44186797999996
"Exp1_S22","RF5A10",5,0.5,14.18,12,10.86096474
"Exp1_S22","RF8A10",8,0.5,20.4,13,6.48636524000012
"Exp1_S23","RF0A0",0,0,7.22,1,36.2377410200001
"Exp1_S23","RF3A2",3,0.1,7.38,2,6.28046071
"Exp1_S23","RF4A2",4,0.1,7.51,3,5.42314414000003
"Exp1_S23","RF5A2",5,0.1,7.66,4,33.78771681
"Exp1_S23","RF8A2",8,0.1,8.27,5,41.86574237
"Exp1_S23","RF3A5",3,0.25,8.17,6,7.07547074000005
"Exp1_S23","RF4A5",4,0.25,8.8,7,6.90177404000001
"Exp1_S23","RF5A5",5,0.25,9.55,8,18.6723726999999
"Exp1_S23","RF8A5",8,0.25,12.16,9,9.75481465999995
"Exp1_S23","RF3A10",3,0.5,10.43,10,7.71798319999995
"Exp1_S23","RF4A10",4,0.5,12.24,11,22.32503844
"Exp1_S23","RF5A10",5,0.5,14.18,12,5.24580724000002
"Exp1_S23","RF8A10",8,0.5,20.4,13,7.67943933999995
"Exp1_S2","RF0A0",0,0,7.22,1,5.98762028999996
"Exp1_S2","RF3A2",3,0.1,7.38,2,7.53727966000004
"Exp1_S2","RF4A2",4,0.1,7.51,3,4.37270898000007
"Exp1_S2","RF5A2",5,0.1,7.66,4,12.78059115
"Exp1_S2","RF8A2",8,0.1,8.27,5,37.56706263
"Exp1_S2","RF3A5",3,0.25,8.17,6,12.39865275
"Exp1_S2","RF4A5",4,0.25,8.8,7,8.65225851000006
"Exp1_S2","RF5A5",5,0.25,9.55,8,20.01441494
"Exp1_S2","RF8A5",8,0.25,12.16,9,24.2847588400001
"Exp1_S2","RF3A10",3,0.5,10.43,10,8.84403590000002
"Exp1_S2","RF4A10",4,0.5,12.24,11,8.84027354999999
"Exp1_S2","RF5A10",5,0.5,14.18,12,10.9606191800001
"Exp1_S2","RF8A10",8,0.5,20.4,13,5.85621647999995
"Exp1_S3","RF0A0",0,0,7.22,1,27.8051565000001
"Exp1_S3","RF3A2",3,0.1,7.38,2,22.5980836600001
"Exp1_S3","RF4A2",4,0.1,7.51,3,9.02895515000009
"Exp1_S3","RF5A2",5,0.1,7.66,4,75.63151144
"Exp1_S3","RF8A2",8,0.1,8.27,5,25.20369213
"Exp1_S3","RF3A5",3,0.25,8.17,6,62.678578
"Exp1_S3","RF4A5",4,0.25,8.8,7,36.11408489
"Exp1_S3","RF5A5",5,0.25,9.55,8,26.5368296699999
"Exp1_S3","RF8A5",8,0.25,12.16,9,50.2612087400001
"Exp1_S3","RF3A10",3,0.5,10.43,10,15.9981099100001
"Exp1_S3","RF4A10",4,0.5,12.24,11,54.33661782
"Exp1_S3","RF5A10",5,0.5,14.18,12,26.7573612
"Exp1_S3","RF8A10",8,0.5,20.4,13,14.74786424
"Exp1_S4","RF0A0",0,0,7.22,1,41.0904183400001
"Exp1_S4","RF3A2",3,0.1,7.38,2,4.09895539999987
"Exp1_S4","RF4A2",4,0.1,7.51,3,22.00337756
"Exp1_S4","RF5A2",5,0.1,7.66,4,19.4858404799999
"Exp1_S4","RF8A2",8,0.1,8.27,5,43.6673893499999
"Exp1_S4","RF3A5",3,0.25,8.17,6,26.3198036599999
"Exp1_S4","RF4A5",4,0.25,8.8,7,41.95246055
"Exp1_S4","RF5A5",5,0.25,9.55,8,5.66941839000004
"Exp1_S4","RF8A5",8,0.25,12.16,9,11.73006522
"Exp1_S4","RF3A10",3,0.5,10.43,10,7.33301180999996
"Exp1_S4","RF4A10",4,0.5,12.24,11,8.77734225999996
"Exp1_S4","RF5A10",5,0.5,14.18,12,22.9253808499999
"Exp1_S4","RF8A10",8,0.5,20.4,13,5.08388367999987
"Exp1_S5","RF0A0",0,0,7.22,1,15.0673255900001
"Exp1_S5","RF3A2",3,0.1,7.38,2,7.86344443000001
"Exp1_S5","RF4A2",4,0.1,7.51,3,8.75287484999999
"Exp1_S5","RF5A2",5,0.1,7.66,4,58.1526336
"Exp1_S5","RF8A2",8,0.1,8.27,5,44.65450951
"Exp1_S5","RF3A5",3,0.25,8.17,6,4.94283208000002
"Exp1_S5","RF4A5",4,0.25,8.8,7,14.11280889
"Exp1_S5","RF5A5",5,0.25,9.55,8,16.14648366
"Exp1_S5","RF8A5",8,0.25,12.16,9,14.60136864
"Exp1_S5","RF3A10",3,0.5,10.43,10,6.56801906000003
"Exp1_S5","RF4A10",4,0.5,12.24,11,2.80964209000001
"Exp1_S5","RF5A10",5,0.5,14.18,12,3.29297215999994
"Exp1_S5","RF8A10",8,0.5,20.4,13,4.06447059999997
"Exp1_S6","RF0A0",0,0,7.22,1,16.17384251
"Exp1_S6","RF3A2",3,0.1,7.38,2,31.64161326
"Exp1_S6","RF4A2",4,0.1,7.51,3,10.3884012
"Exp1_S6","RF5A2",5,0.1,7.66,4,12.0436975000001
"Exp1_S6","RF8A2",8,0.1,8.27,5,24.54490773
"Exp1_S6","RF3A5",3,0.25,8.17,6,7.44647691999996
"Exp1_S6","RF4A5",4,0.25,8.8,7,35.13298544
"Exp1_S6","RF5A5",5,0.25,9.55,8,12.23518886
"Exp1_S6","RF8A5",8,0.25,12.16,9,6.30630699000004
"Exp1_S6","RF3A10",3,0.5,10.43,10,11.59206703
"Exp1_S6","RF4A10",4,0.5,12.24,11,25.51467331
"Exp1_S6","RF5A10",5,0.5,14.18,12,7.42133016000005
"Exp1_S6","RF8A10",8,0.5,20.4,13,4.25836742999991
"Exp1_S7","RF0A0",0,0,7.22,1,7.03400836000008
"Exp1_S7","RF3A2",3,0.1,7.38,2,14.94464199
"Exp1_S7","RF4A2",4,0.1,7.51,3,13.79793504
"Exp1_S7","RF5A2",5,0.1,7.66,4,56.66582549
"Exp1_S7","RF8A2",8,0.1,8.27,5,31.80406733
"Exp1_S7","RF3A5",3,0.25,8.17,6,25.09651337
"Exp1_S7","RF4A5",4,0.25,8.8,7,14.61685044
"Exp1_S7","RF5A5",5,0.25,9.55,8,44.45351904
"Exp1_S7","RF8A5",8,0.25,12.16,9,37.3877795499999
"Exp1_S7","RF3A10",3,0.5,10.43,10,62.48612537
"Exp1_S7","RF4A10",4,0.5,12.24,11,21.43541724
"Exp1_S7","RF5A10",5,0.5,14.18,12,24.1170145900001
"Exp1_S7","RF8A10",8,0.5,20.4,13,26.74850072
"Exp1_S8","RF0A0",0,0,7.22,1,28.7022523599999
"Exp1_S8","RF3A2",3,0.1,7.38,2,11.2334630499999
"Exp1_S8","RF4A2",4,0.1,7.51,3,10.3419699899999
"Exp1_S8","RF5A2",5,0.1,7.66,4,23.49328889
"Exp1_S8","RF8A2",8,0.1,8.27,5,27.3318929
"Exp1_S8","RF3A5",3,0.25,8.17,6,4.50789787000017
"Exp1_S8","RF4A5",4,0.25,8.8,7,10.00604393
"Exp1_S8","RF5A5",5,0.25,9.55,8,21.6367144599999
"Exp1_S8","RF8A5",8,0.25,12.16,9,19.06994955
"Exp1_S8","RF3A10",3,0.5,10.43,10,14.70784744
"Exp1_S8","RF4A10",4,0.5,12.24,11,4.86847208999992
"Exp1_S8","RF5A10",5,0.5,14.18,12,28.4166921399999
"Exp1_S8","RF8A10",8,0.5,20.4,13,17.43406424
"Exp1_S9","RF0A0",0,0,7.22,1,22.7795319799999
"Exp1_S9","RF3A2",3,0.1,7.38,2,24.0466669
"Exp1_S9","RF4A2",4,0.1,7.51,3,19.88866392
"Exp1_S9","RF5A2",5,0.1,7.66,4,20.90796281
"Exp1_S9","RF8A2",8,0.1,8.27,5,25.28149702
"Exp1_S9","RF3A5",3,0.25,8.17,6,35.76084166
"Exp1_S9","RF4A5",4,0.25,8.8,7,56.43899149
"Exp1_S9","RF5A5",5,0.25,9.55,8,20.1254214899999
"Exp1_S9","RF8A5",8,0.25,12.16,9,27.95692332
"Exp1_S9","RF3A10",3,0.5,10.43,10,19.74829174
"Exp1_S9","RF4A10",4,0.5,12.24,11,24.4358228400001
"Exp1_S9","RF5A10",5,0.5,14.18,12,4.75445208000002
"Exp1_S9","RF8A10",8,0.5,20.4,13,16.57918157
"Exp1_S10","RF0A0",0,0,7.22,1,12.55244378
"Exp1_S10","RF3A2",3,0.1,7.38,2,16.32713881
"Exp1_S10","RF4A2",4,0.1,7.51,3,43.53845154
"Exp1_S10","RF5A2",5,0.1,7.66,4,13.23050562
"Exp1_S10","RF8A2",8,0.1,8.27,5,30.6741178499999
"Exp1_S10","RF3A5",3,0.25,8.17,6,3.96118334000002
"Exp1_S10","RF4A5",4,0.25,8.8,7,7.42922282000002
"Exp1_S10","RF5A5",5,0.25,9.55,8,2.37753895000001
"Exp1_S10","RF8A5",8,0.25,12.16,9,15.4748181000001
"Exp1_S10","RF3A10",3,0.5,10.43,10,4.69987732999995
"Exp1_S10","RF4A10",4,0.5,12.24,11,5.45227878
"Exp1_S10","RF5A10",5,0.5,14.18,12,4.50400522999997
"Exp1_S10","RF8A10",8,0.5,20.4,13,6.73171339999994
"Exp1_S11","RF0A0",0,0,7.22,1,5.92091779000003
"Exp1_S11","RF3A2",3,0.1,7.38,2,7.65094753000002
