"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp4_S18","RF10A5",10,0.25,11.26,7,29.26101806
"Exp4_S18","RF14A5",14,0.25,14.55,8,13.55410663
"Exp4_S18","RF20A5",20,0.25,19.71,9,10.19029219
"Exp4_S18","RF8A10",8,0.5,13.67,10,25.60976428
"Exp4_S18","RF10A10",10,0.5,16.57,11,37.18775717
"Exp4_S18","RF14A10",14,0.5,22.49,12,6.21770087
"Exp4_S18","RF20A10",20,0.5,31.54,13,2.83878735
"Exp4_S19","RF0A0",0,0,7.22,1,13.50123361
"Exp4_S19","RF8A2",8,0.1,7.52,2,45.39189636
"Exp4_S19","RF10A2",10,0.1,8,3,28.8008679
"Exp4_S19","RF14A2",14,0.1,9.1,4,12.28365779
"Exp4_S19","RF20A2",20,0.1,11.03,5,63.80372192
"Exp4_S19","RF8A5",8,0.25,9.72,6,25.44992852
"Exp4_S19","RF10A5",10,0.25,11.26,7,21.9624077
"Exp4_S19","RF14A5",14,0.25,14.55,8,15.98865495
"Exp4_S19","RF20A5",20,0.25,19.71,9,8.58601656
"Exp4_S19","RF8A10",8,0.5,13.67,10,67.58969745
"Exp4_S19","RF10A10",10,0.5,16.57,11,13.70112225
"Exp4_S19","RF14A10",14,0.5,22.49,12,10.99613944
"Exp4_S19","RF20A10",20,0.5,31.54,13,3.78260445
"Exp4_S20","RF0A0",0,0,7.22,1,20.90548554
"Exp4_S20","RF8A2",8,0.1,7.52,2,61.92506786
"Exp4_S20","RF10A2",10,0.1,8,3,72.87089152
"Exp4_S20","RF14A2",14,0.1,9.1,4,101.13088222
"Exp4_S20","RF20A2",20,0.1,11.03,5,7.6962242
"Exp4_S20","RF8A5",8,0.25,9.72,6,16.3331071
"Exp4_S20","RF10A5",10,0.25,11.26,7,74.35425658
"Exp4_S20","RF14A5",14,0.25,14.55,8,25.41331385
"Exp4_S20","RF20A5",20,0.25,19.71,9,6.42251874
"Exp4_S20","RF8A10",8,0.5,13.67,10,12.4691143
"Exp4_S20","RF10A10",10,0.5,16.57,11,23.31747221
"Exp4_S20","RF14A10",14,0.5,22.49,12,27.55939207
"Exp4_S20","RF20A10",20,0.5,31.54,13,6.37529663
"Exp4_S2","RF0A0",0,0,7.22,1,60.78142294
"Exp4_S2","RF8A2",8,0.1,7.52,2,38.50305361
"Exp4_S2","RF10A2",10,0.1,8,3,43.97592459
"Exp4_S2","RF14A2",14,0.1,9.1,4,69.72301625
"Exp4_S2","RF20A2",20,0.1,11.03,5,45.1208905
"Exp4_S2","RF8A5",8,0.25,9.72,6,67.21132652
"Exp4_S2","RF10A5",10,0.25,11.26,7,50.62693022
"Exp4_S2","RF14A5",14,0.25,14.55,8,23.66711363
"Exp4_S2","RF20A5",20,0.25,19.71,9,23.52238479
"Exp4_S2","RF8A10",8,0.5,13.67,10,16.38124534
"Exp4_S2","RF10A10",10,0.5,16.57,11,35.38951504
"Exp4_S2","RF14A10",14,0.5,22.49,12,33.27944126
"Exp4_S2","RF20A10",20,0.5,31.54,13,4.43028203
"Exp4_S3","RF0A0",0,0,7.22,1,27.96837696
"Exp4_S3","RF8A2",8,0.1,7.52,2,29.23657726
"Exp4_S3","RF10A2",10,0.1,8,3,31.73789489
"Exp4_S3","RF14A2",14,0.1,9.1,4,38.90938362
"Exp4_S3","RF20A2",20,0.1,11.03,5,27.92414142
"Exp4_S3","RF8A5",8,0.25,9.72,6,9.76334067
"Exp4_S3","RF10A5",10,0.25,11.26,7,25.27148155
"Exp4_S3","RF14A5",14,0.25,14.55,8,18.73779225
"Exp4_S3","RF20A5",20,0.25,19.71,9,13.03790164
"Exp4_S3","RF8A10",8,0.5,13.67,10,16.05419141
"Exp4_S3","RF10A10",10,0.5,16.57,11,13.31361935
"Exp4_S3","RF14A10",14,0.5,22.49,12,6.63698104
"Exp4_S3","RF20A10",20,0.5,31.54,13,3.60953551
"Exp4_S4","RF0A0",0,0,7.22,1,6.58846706
"Exp4_S4","RF8A2",8,0.1,7.52,2,43.45626471
"Exp4_S4","RF10A2",10,0.1,8,3,59.54111992
"Exp4_S4","RF14A2",14,0.1,9.1,4,31.74303275
"Exp4_S4","RF20A2",20,0.1,11.03,5,21.56103677
"Exp4_S4","RF8A5",8,0.25,9.72,6,67.82172544
"Exp4_S4","RF10A5",10,0.25,11.26,7,34.69990272
"Exp4_S4","RF14A5",14,0.25,14.55,8,5.7059315
"Exp4_S4","RF20A5",20,0.25,19.71,9,8.15030887
"Exp4_S4","RF8A10",8,0.5,13.67,10,32.91866001
"Exp4_S4","RF10A10",10,0.5,16.57,11,8.36695435
"Exp4_S4","RF14A10",14,0.5,22.49,12,6.73633971
"Exp4_S4","RF20A10",20,0.5,31.54,13,5.53798385
"Exp4_S5","RF0A0",0,0,7.22,1,10.98811613
"Exp4_S5","RF8A2",8,0.1,7.52,2,43.66997808
"Exp4_S5","RF10A2",10,0.1,8,3,30.70648048
"Exp4_S5","RF14A2",14,0.1,9.1,4,16.09345336
"Exp4_S5","RF20A2",20,0.1,11.03,5,11.64501168
"Exp4_S5","RF8A5",8,0.25,9.72,6,29.72199757
"Exp4_S5","RF10A5",10,0.25,11.26,7,22.70785584
"Exp4_S5","RF14A5",14,0.25,14.55,8,21.70440977
"Exp4_S5","RF20A5",20,0.25,19.71,9,11.08433692
"Exp4_S5","RF8A10",8,0.5,13.67,10,22.50612695
"Exp4_S5","RF10A10",10,0.5,16.57,11,2.60641959
"Exp4_S5","RF14A10",14,0.5,22.49,12,7.78558433
"Exp4_S5","RF20A10",20,0.5,31.54,13,2.76402929
"Exp4_S6","RF0A0",0,0,7.22,1,3.88012982
"Exp4_S6","RF8A2",8,0.1,7.52,2,55.33321544
