"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp1_S21","RF3A5",6,3,0.25,8.17,1,1,1,3.6036833,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,1,2,1,2.77427740000007,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,1,3,1,1.77694120000001,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,1,4,1,1.51948160000006,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,1,5,1,1.74996799999997,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,1,6,1,1.55812520000006,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,1,7,1,1.15856299999996,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,1,8,1,1.61010459999989,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,1,9,1,1.66216359999999,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,1,10,1,1.12976790000016,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,1,11,1,3.02865859999997,1
"Exp1_S21","RF0A0",1,0,0,7.22,1,12,1,1.08520500000009,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,1,13,1,4.00128010000003,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,2,14,1,1.92936670000017,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,2,15,1,1.94484499999999,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,2,16,1,1.02548900000011,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,2,17,1,2.41515879999997,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,2,18,1,1.12252119999994,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,2,19,1,1.14967060000026,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,2,20,1,0.807178500000191,1
"Exp1_S21","RF0A0",1,0,0,7.22,2,21,1,1.26266850000002,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,2,22,1,1.37419729999965,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,2,23,1,2.83918330000006,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,2,24,1,1.55848409999999,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,2,25,1,3.14137699999992,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,2,26,1,1.28637359999993,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,1,1,2,5.05152670000001,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,1,2,2,3.69413430000009,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,1,3,2,2.34491129999992,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,1,4,2,12.9276122,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,1,5,2,2.5900517,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,1,6,2,2.53150260000007,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,1,7,2,1.72641279999993,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,1,8,2,2.47423159999994,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,1,9,2,2.50230119999992,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,1,10,2,2.40972690000012,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,1,11,2,4.34867439999994,1
"Exp1_S21","RF0A0",1,0,0,7.22,1,12,2,2.80611969999995,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,1,13,2,8.54495910000014,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,2,14,2,2.58553140000004,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,2,15,2,10.0489608999999,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,2,16,2,1.47419929999978,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,2,17,2,6.03935179999962,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,2,18,2,2.53067659999988,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,2,19,2,1.82958850000023,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,2,20,2,1.69379890000027,1
"Exp1_S21","RF0A0",1,0,0,7.22,2,21,2,1.79852200000005,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,2,22,2,2.40626199999997,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,2,23,2,3.44726799999989,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,2,24,2,2.26225380000005,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,2,25,2,3.92510380000022,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,2,26,2,2.15797659999998,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,1,1,3,101.8595426,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,1,2,3,6.02227190000008,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,1,3,3,3.07302719999996,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,1,4,3,16.5913643,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,1,5,3,3.84565099999998,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,1,6,3,3.3317796,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,1,7,3,2.35839139999996,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,1,8,3,3.61021989999995,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,1,9,3,3.93447839999999,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,1,10,3,2.96186990000001,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,1,11,3,19.6848399999999,1
"Exp1_S21","RF0A0",1,0,0,7.22,1,12,3,4.72600050000005,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,1,13,3,11.4334911000001,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,2,14,3,3.62537599999996,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,2,15,3,14.6165647,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,2,16,3,2.99292890000015,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,2,17,3,8.06346889999986,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,2,18,3,4.36245129999998,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,2,19,3,2.91789610000023,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,2,20,3,2.24555830000008,1
"Exp1_S21","RF0A0",1,0,0,7.22,2,21,3,2.52656100000013,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,2,22,3,4.31814859999986,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,2,23,3,4.37518339999997,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,2,24,3,4.89418260000002,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,2,25,3,6.38941690000001,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,2,26,3,2.82207629999994,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,1,1,4,180,0
"Exp1_S21","RF8A5",9,8,0.25,12.16,1,2,4,8.83031319999998,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,1,3,4,4.84909849999997,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,1,4,4,19.0636737,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,1,5,4,5.01404669999999,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,1,6,4,5.45177620000004,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,1,7,4,71.286518,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,1,8,4,7.2984348,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,1,9,4,4.77417429999991,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,1,10,4,4.87399300000016,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,1,11,4,24.8209666999999,1
"Exp1_S21","RF0A0",1,0,0,7.22,1,12,4,5.30122559999995,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,1,13,4,45.2091038000001,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,2,14,4,5.58549089999997,1
"Exp1_S21","RF8A2",5,8,0.1,8.27,2,15,4,42.42471,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,2,16,4,11.7385915999998,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,2,17,4,16.543334,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,2,18,4,4.89044710000007,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,2,19,4,6.03708770000003,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,2,20,4,36.9739914000002,1
"Exp1_S21","RF0A0",1,0,0,7.22,2,21,4,6.7265797,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,2,22,4,13.0300516999996,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,2,23,4,5.4793166999998,1
"Exp1_S21","RF8A5",9,8,0.25,12.16,2,24,4,22.7741311,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,2,25,4,7.05330540000023,1
"Exp1_S21","RF4A2",3,4,0.1,7.51,2,26,4,3.57403810000005,1
"Exp1_S21","RF3A5",6,3,0.25,8.17,1,1,5,180,0
"Exp1_S21","RF8A5",9,8,0.25,12.16,1,2,5,105.5549039,1
"Exp1_S21","RF4A10",11,4,0.5,12.24,1,3,5,22.7769824,1
"Exp1_S21","RF5A2",4,5,0.1,7.66,1,4,5,180,0
"Exp1_S21","RF4A2",3,4,0.1,7.51,1,5,5,25.7578218,1
"Exp1_S21","RF5A10",12,5,0.5,14.18,1,6,5,42.0755501,1
"Exp1_S21","RF3A10",10,3,0.5,10.43,1,7,5,120.0304266,1
"Exp1_S21","RF3A2",2,3,0.1,7.38,1,8,5,56.1693117,1
"Exp1_S21","RF8A10",13,8,0.5,20.4,1,9,5,5.26214630000004,1
"Exp1_S21","RF5A5",8,5,0.25,9.55,1,10,5,7.15348740000013,1
"Exp1_S21","RF4A5",7,4,0.25,8.8,1,11,5,180,0
"Exp1_S21","RF0A0",1,0,0,7.22,1,12,5,180,0
