"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp2B_S1","RF0A0",0,0,7.22,1,37.66794243
"Exp2B_S1","RF8A2",8,0.1,7.52,2,15.36510977
"Exp2B_S1","RF10A2",10,0.1,8,3,27.1539524000001
"Exp2B_S1","RF14A2",14,0.1,9.1,4,13.71490012
"Exp2B_S1","RF20A2",20,0.1,11.03,5,15.2978276800001
"Exp2B_S1","RF8A5",8,0.25,9.72,6,38.12753766
"Exp2B_S1","RF10A5",10,0.25,11.26,7,14.14751603
"Exp2B_S1","RF14A5",14,0.25,14.55,8,15.06758152
"Exp2B_S1","RF20A5",20,0.25,19.71,9,6.63012564999999
"Exp2B_S1","RF8A10",8,0.5,13.67,10,9.90812292000009
"Exp2B_S1","RF10A10",10,0.5,16.57,11,7.64544722000005
"Exp2B_S1","RF14A10",14,0.5,22.49,12,3.84946899999986
"Exp2B_S1","RF20A10",20,0.5,31.54,13,3.76039311000004
"Exp2B_S12","RF0A0",0,0,7.22,1,27.02090853
"Exp2B_S12","RF8A2",8,0.1,7.52,2,52.2905122700001
"Exp2B_S12","RF10A2",10,0.1,8,3,79.0384459199999
"Exp2B_S12","RF14A2",14,0.1,9.1,4,22.25479131
"Exp2B_S12","RF20A2",20,0.1,11.03,5,21.55964507
"Exp2B_S12","RF8A5",8,0.25,9.72,6,62.1066367200001
"Exp2B_S12","RF10A5",10,0.25,11.26,7,8.55496642000003
"Exp2B_S12","RF14A5",14,0.25,14.55,8,41.1553656699999
"Exp2B_S12","RF20A5",20,0.25,19.71,9,6.85532562999999
"Exp2B_S12","RF8A10",8,0.5,13.67,10,18.56757941
"Exp2B_S12","RF10A10",10,0.5,16.57,11,3.04009352999993
"Exp2B_S12","RF14A10",14,0.5,22.49,12,3.84617317999999
"Exp2B_S12","RF20A10",20,0.5,31.54,13,3.20301920000004
"Exp2B_S14","RF0A0",0,0,7.22,1,8.44207969999998
"Exp2B_S14","RF8A2",8,0.1,7.52,2,26.7016835400001
"Exp2B_S14","RF10A2",10,0.1,8,3,75.7123012200001
"Exp2B_S14","RF14A2",14,0.1,9.1,4,31.6149420799998
"Exp2B_S14","RF20A2",20,0.1,11.03,5,8.45554509
"Exp2B_S14","RF8A5",8,0.25,9.72,6,43.6184466999999
"Exp2B_S14","RF10A5",10,0.25,11.26,7,16.9169680999999
"Exp2B_S14","RF14A5",14,0.25,14.55,8,14.7811953299999
"Exp2B_S14","RF20A5",20,0.25,19.71,9,8.50444630999996
"Exp2B_S14","RF8A10",8,0.5,13.67,10,28.04004611
"Exp2B_S14","RF10A10",10,0.5,16.57,11,4.40863378000002
"Exp2B_S14","RF14A10",14,0.5,22.49,12,8.29630477999994
"Exp2B_S14","RF20A10",20,0.5,31.54,13,3.19359144999992
"Exp2B_S15","RF0A0",0,0,7.22,1,13.35307146
"Exp2B_S15","RF8A2",8,0.1,7.52,2,41.98426241
"Exp2B_S15","RF10A2",10,0.1,8,3,59.16958079
"Exp2B_S15","RF14A2",14,0.1,9.1,4,65.28054363
"Exp2B_S15","RF20A2",20,0.1,11.03,5,27.0592470099999
"Exp2B_S15","RF8A5",8,0.25,9.72,6,28.6405294500001
"Exp2B_S15","RF10A5",10,0.25,11.26,7,20.6257858899999
"Exp2B_S15","RF14A5",14,0.25,14.55,8,10.8034316400001
"Exp2B_S15","RF20A5",20,0.25,19.71,9,2.96597242999999
"Exp2B_S15","RF8A10",8,0.5,13.67,10,8.71406363000002
"Exp2B_S15","RF10A10",10,0.5,16.57,11,4.62011887000005
"Exp2B_S15","RF14A10",14,0.5,22.49,12,14.7247163200001
"Exp2B_S15","RF20A10",20,0.5,31.54,13,2.46938055000005
"Exp2B_S16","RF0A0",0,0,7.22,1,25.8088620900001
"Exp2B_S16","RF8A2",8,0.1,7.52,2,52.08425061
"Exp2B_S16","RF10A2",10,0.1,8,3,38.6174624199999
"Exp2B_S16","RF14A2",14,0.1,9.1,4,12.8364351300001
"Exp2B_S16","RF20A2",20,0.1,11.03,5,36.14659444
"Exp2B_S16","RF8A5",8,0.25,9.72,6,77.29185398
"Exp2B_S16","RF10A5",10,0.25,11.26,7,31.3116390999999
"Exp2B_S16","RF14A5",14,0.25,14.55,8,62.98146329
"Exp2B_S16","RF20A5",20,0.25,19.71,9,15.7824618800001
"Exp2B_S16","RF8A10",8,0.5,13.67,10,26.8095681300001
"Exp2B_S16","RF10A10",10,0.5,16.57,11,5.38216519000005
"Exp2B_S16","RF14A10",14,0.5,22.49,12,4.76989176
"Exp2B_S16","RF20A10",20,0.5,31.54,13,5.33389742000008
"Exp2B_S17","RF0A0",0,0,7.22,1,19.80130589
"Exp2B_S17","RF8A2",8,0.1,7.52,2,33.71099214
"Exp2B_S17","RF10A2",10,0.1,8,3,13.0886758299999
"Exp2B_S17","RF14A2",14,0.1,9.1,4,54.55899918
"Exp2B_S17","RF20A2",20,0.1,11.03,5,24.8968988999999
"Exp2B_S17","RF8A5",8,0.25,9.72,6,30.98770092
"Exp2B_S17","RF10A5",10,0.25,11.26,7,18.90545613
"Exp2B_S17","RF14A5",14,0.25,14.55,8,12.94234199
"Exp2B_S17","RF20A5",20,0.25,19.71,9,8.78711747000007
"Exp2B_S17","RF8A10",8,0.5,13.67,10,7.72654152999998
"Exp2B_S17","RF10A10",10,0.5,16.57,11,5.51728449000005
"Exp2B_S17","RF14A10",14,0.5,22.49,12,4.71815949999993
"Exp2B_S17","RF20A10",20,0.5,31.54,13,5.81246605999999
"Exp2B_S18","RF0A0",0,0,7.22,1,32.43183035
"Exp2B_S18","RF8A2",8,0.1,7.52,2,69.1473439
"Exp2B_S18","RF10A2",10,0.1,8,3,29.5707757900001
"Exp2B_S18","RF14A2",14,0.1,9.1,4,24.68915694
"Exp2B_S18","RF20A2",20,0.1,11.03,5,21.0704308199999
"Exp2B_S18","RF8A5",8,0.25,9.72,6,7.49663891000012
"Exp2B_S18","RF10A5",10,0.25,11.26,7,29.2610180600002
"Exp2B_S18","RF14A5",14,0.25,14.55,8,13.5541066300001
"Exp2B_S18","RF20A5",20,0.25,19.71,9,10.1902921899999
"Exp2B_S18","RF8A10",8,0.5,13.67,10,25.60976428
"Exp2B_S18","RF10A10",10,0.5,16.57,11,37.1877571700001
"Exp2B_S18","RF14A10",14,0.5,22.49,12,6.21770086999995
"Exp2B_S18","RF20A10",20,0.5,31.54,13,2.83878734999987
"Exp2B_S19","RF0A0",0,0,7.22,1,13.50123361
"Exp2B_S19","RF8A2",8,0.1,7.52,2,45.39189636
"Exp2B_S19","RF10A2",10,0.1,8,3,28.8008679
"Exp2B_S19","RF14A2",14,0.1,9.1,4,12.2836577899998
"Exp2B_S19","RF20A2",20,0.1,11.03,5,63.8037219199999
"Exp2B_S19","RF8A5",8,0.25,9.72,6,25.4499285199999
"Exp2B_S19","RF10A5",10,0.25,11.26,7,21.9624077
"Exp2B_S19","RF14A5",14,0.25,14.55,8,15.9886549500001
"Exp2B_S19","RF20A5",20,0.25,19.71,9,8.58601655999996
"Exp2B_S19","RF8A10",8,0.5,13.67,10,67.58969745
"Exp2B_S19","RF10A10",10,0.5,16.57,11,13.7011222500001
"Exp2B_S19","RF14A10",14,0.5,22.49,12,10.99613944
"Exp2B_S19","RF20A10",20,0.5,31.54,13,3.78260445000011
"Exp2B_S20","RF0A0",0,0,7.22,1,20.90548554
"Exp2B_S20","RF8A2",8,0.1,7.52,2,61.92506786
"Exp2B_S20","RF10A2",10,0.1,8,3,72.8708915200001
"Exp2B_S20","RF14A2",14,0.1,9.1,4,101.13088222
"Exp2B_S20","RF20A2",20,0.1,11.03,5,7.69622419999994
"Exp2B_S20","RF8A5",8,0.25,9.72,6,16.3331071
"Exp2B_S20","RF10A5",10,0.25,11.26,7,74.3542565800001
"Exp2B_S20","RF14A5",14,0.25,14.55,8,25.4133138500001
"Exp2B_S20","RF20A5",20,0.25,19.71,9,6.42251874000008
"Exp2B_S20","RF8A10",8,0.5,13.67,10,12.4691143000001
"Exp2B_S20","RF10A10",10,0.5,16.57,11,23.31747221
"Exp2B_S20","RF14A10",14,0.5,22.49,12,27.5593920699999
"Exp2B_S20","RF20A10",20,0.5,31.54,13,6.37529662999998
"Exp2B_S2","RF0A0",0,0,7.22,1,60.7814229399999
"Exp2B_S2","RF8A2",8,0.1,7.52,2,38.50305361
"Exp2B_S2","RF10A2",10,0.1,8,3,43.9759245899999
"Exp2B_S2","RF14A2",14,0.1,9.1,4,69.7230162500001
"Exp2B_S2","RF20A2",20,0.1,11.03,5,45.1208904999998
"Exp2B_S2","RF8A5",8,0.25,9.72,6,67.2113265200001
"Exp2B_S2","RF10A5",10,0.25,11.26,7,50.62693022
"Exp2B_S2","RF14A5",14,0.25,14.55,8,23.6671136300001
"Exp2B_S2","RF20A5",20,0.25,19.71,9,23.5223847899999
"Exp2B_S2","RF8A10",8,0.5,13.67,10,16.38124534
"Exp2B_S2","RF10A10",10,0.5,16.57,11,35.3895150400001
"Exp2B_S2","RF14A10",14,0.5,22.49,12,33.2794412600001
"Exp2B_S2","RF20A10",20,0.5,31.54,13,4.43028202999997
"Exp2B_S3","RF0A0",0,0,7.22,1,27.9683769600001
"Exp2B_S3","RF8A2",8,0.1,7.52,2,29.23657726
"Exp2B_S3","RF10A2",10,0.1,8,3,31.7378948900002
"Exp2B_S3","RF14A2",14,0.1,9.1,4,38.90938362
"Exp2B_S3","RF20A2",20,0.1,11.03,5,27.9241414200001
"Exp2B_S3","RF8A5",8,0.25,9.72,6,9.76334066999995
"Exp2B_S3","RF10A5",10,0.25,11.26,7,25.27148155
"Exp2B_S3","RF14A5",14,0.25,14.55,8,18.7377922499999
"Exp2B_S3","RF20A5",20,0.25,19.71,9,13.0379016400001
"Exp2B_S3","RF8A10",8,0.5,13.67,10,16.05419141
"Exp2B_S3","RF10A10",10,0.5,16.57,11,13.3136193500001
"Exp2B_S3","RF14A10",14,0.5,22.49,12,6.63698104000003
"Exp2B_S3","RF20A10",20,0.5,31.54,13,3.60953550999989
"Exp2B_S4","RF0A0",0,0,7.22,1,6.58846706000006
"Exp2B_S4","RF8A2",8,0.1,7.52,2,43.45626471
"Exp2B_S4","RF10A2",10,0.1,8,3,59.54111992
"Exp2B_S4","RF14A2",14,0.1,9.1,4,31.74303275
"Exp2B_S4","RF20A2",20,0.1,11.03,5,21.5610367699999
"Exp2B_S4","RF8A5",8,0.25,9.72,6,67.8217254400001
"Exp2B_S4","RF10A5",10,0.25,11.26,7,34.69990272
"Exp2B_S4","RF14A5",14,0.25,14.55,8,5.70593149999995
"Exp2B_S4","RF20A5",20,0.25,19.71,9,8.15030887
"Exp2B_S4","RF8A10",8,0.5,13.67,10,32.91866001
"Exp2B_S4","RF10A10",10,0.5,16.57,11,8.36695435000007
"Exp2B_S4","RF14A10",14,0.5,22.49,12,6.73633970999996
"Exp2B_S4","RF20A10",20,0.5,31.54,13,5.53798385
"Exp2B_S5","RF0A0",0,0,7.22,1,10.98811613
"Exp2B_S5","RF8A2",8,0.1,7.52,2,43.66997808
"Exp2B_S5","RF10A2",10,0.1,8,3,30.70648048
"Exp2B_S5","RF14A2",14,0.1,9.1,4,16.0934533599999
"Exp2B_S5","RF20A2",20,0.1,11.03,5,11.64501168
"Exp2B_S5","RF8A5",8,0.25,9.72,6,29.72199757
"Exp2B_S5","RF10A5",10,0.25,11.26,7,22.7078558399999
"Exp2B_S5","RF14A5",14,0.25,14.55,8,21.7044097699999
"Exp2B_S5","RF20A5",20,0.25,19.71,9,11.08433692
"Exp2B_S5","RF8A10",8,0.5,13.67,10,22.50612695
"Exp2B_S5","RF10A10",10,0.5,16.57,11,2.60641959000009
"Exp2B_S5","RF14A10",14,0.5,22.49,12,7.78558433000001
"Exp2B_S5","RF20A10",20,0.5,31.54,13,2.76402929000001
"Exp2B_S6","RF0A0",0,0,7.22,1,3.88012982000004
"Exp2B_S6","RF8A2",8,0.1,7.52,2,55.33321544
"Exp2B_S6","RF10A2",10,0.1,8,3,31.99532937
"Exp2B_S6","RF14A2",14,0.1,9.1,4,10.5703147
"Exp2B_S6","RF20A2",20,0.1,11.03,5,23.417922
"Exp2B_S6","RF8A5",8,0.25,9.72,6,11.20739075
"Exp2B_S6","RF10A5",10,0.25,11.26,7,29.42950064
"Exp2B_S6","RF14A5",14,0.25,14.55,8,16.6408654900001
"Exp2B_S6","RF20A5",20,0.25,19.71,9,4.77533409
"Exp2B_S6","RF8A10",8,0.5,13.67,10,4.32993907999992
"Exp2B_S6","RF10A10",10,0.5,16.57,11,5.40634028000003
"Exp2B_S6","RF14A10",14,0.5,22.49,12,3.35365956999983
"Exp2B_S6","RF20A10",20,0.5,31.54,13,5.36961018000004
"Exp2B_S7","RF0A0",0,0,7.22,1,14.22670578
"Exp2B_S7","RF8A2",8,0.1,7.52,2,36.10399268
"Exp2B_S7","RF10A2",10,0.1,8,3,39.12274624
"Exp2B_S7","RF14A2",14,0.1,9.1,4,6.95126382
"Exp2B_S7","RF20A2",20,0.1,11.03,5,19.36238226
"Exp2B_S7","RF8A5",8,0.25,9.72,6,12.42868927
