"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S1","RF8A2",2,8,0.1,8.27,1,5,3,13.2805655,1,-13.09627874,3.176582304
"Exp1B_S1","RF20A5",9,20,0.25,24.63,1,6,3,2.7057848,1,11.47312096,4.173771487
"Exp1B_S1","RF10A2",3,10,0.1,8.79,1,7,3,12.403326,1,14.00112521,14.1066886
"Exp1B_S1","RF14A2",4,14,0.1,10.01,1,8,3,4.0119903,1,-1.219704441,-10.39319581
"Exp1B_S1","RF14A5",8,14,0.25,18.18,1,9,3,4.9343273,1,-0.737601088,-6.74421084
"Exp1B_S1","RF10A5",7,10,0.25,14.08,1,10,3,6.7832696,1,6.876429711,-11.75430515
"Exp1B_S1","RF10A10",11,10,0.5,24.73,1,11,3,2.5747514,1,3.377843774,1.394894467
"Exp1B_S1","RF8A5",6,8,0.25,12.16,1,12,3,1.8723227,1,-11.09531238,-3.873360939
"Exp1B_S1","RF0A0",1,0,0,7.22,1,13,3,2.6996177,1,-4.916338353,-14.12032172
"Exp1B_S1","RF8A2",2,8,0.1,8.27,2,14,3,66.2755081,1,-14.20384341,-4.127932127
"Exp1B_S1","RF0A0",1,0,0,7.22,2,15,3,3.9310821,1,3.042313281,-5.942096986
"Exp1B_S1","RF14A10",12,14,0.5,33.57,2,16,3,2.292015,1,4.061674574,2.246082081
"Exp1B_S1","RF10A2",3,10,0.1,8.79,2,17,3,9.3612961,1,14.66676939,3.563361786
"Exp1B_S1","RF10A5",7,10,0.25,14.08,2,18,3,3.5985199,1,1.692918915,4.269235565
"Exp1B_S1","RF14A2",4,14,0.1,10.01,2,19,3,29.7081635,1,3.267133257,3.188397781
"Exp1B_S1","RF10A10",11,10,0.5,24.73,2,20,3,2.6770295,1,4.516291681,-4.883956035
"Exp1B_S1","RF20A5",9,20,0.25,24.63,2,21,3,1.7587456,1,9.756879573,9.537411702
"Exp1B_S1","RF8A5",6,8,0.25,12.16,2,22,3,36.8437802,1,0.866315734,-2.457061449
"Exp1B_S1","RF20A10",13,20,0.5,47.08,2,23,3,2.0436324,1,5.016250035,-3.129055205
"Exp1B_S1","RF14A5",8,14,0.25,18.18,2,24,3,2.2797084,1,4.220634621,-10.71357965
"Exp1B_S1","RF20A2",5,20,0.1,12.12,2,25,3,30.8807512,1,-1.612237894,3.669093924
"Exp1B_S1","RF8A10",10,8,0.5,20.4,2,26,3,3.2587457,1,-7.499437275,-4.378326151
"Exp1B_S1","RF20A2",5,20,0.1,12.12,1,1,4,20.0405006,1,3.014147048,-9.772742696
"Exp1B_S1","RF14A10",12,14,0.5,33.57,1,2,4,23.5006438,1,12.5730598,-10.77438329
"Exp1B_S1","RF20A10",13,20,0.5,47.08,1,3,4,3.044654,1,-11.15754224,-6.616274218
"Exp1B_S1","RF8A10",10,8,0.5,20.4,1,4,4,6.7846139,1,-5.512916627,10.35727086
"Exp1B_S1","RF8A2",2,8,0.1,8.27,1,5,4,16.0327094,1,-11.14534194,10.33487803
"Exp1B_S1","RF20A5",9,20,0.25,24.63,1,6,4,3.3056461,1,15.77437466,15.64340808
"Exp1B_S1","RF10A2",3,10,0.1,8.79,1,7,4,15.1073394,1,2.156694118,6.506587039
"Exp1B_S1","RF14A2",4,14,0.1,10.01,1,8,4,5.8359918,1,12.3321398,4.748628868
