"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,3,68.6590842000001,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,3,3.65801349999992,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,3,6.19449649999979,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,3,2.57406209999999,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,3,12.5306218000001,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,4,180,0
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,4,38.8161623,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,4,63.1146754,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,1,4,4,20.7546745,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,1,5,4,41.965426,1
"Exp2_S1","RF0A0",1,0,0,7.22,1,6,4,6.41017340000008,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,1,7,4,9.64202599999999,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,1,8,4,82.4710945,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,1,9,4,84.8853844,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,1,10,4,90.7456352999998,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,1,11,4,180,0
"Exp2_S1","RF3A10",10,3,0.5,6.99,1,12,4,71.7224669,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,1,13,4,3.36841929999991,1
"Exp2_S1","RF0A0",1,0,0,7.22,2,14,4,6.57705620000002,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,2,15,4,5.48410480000007,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,2,16,4,112.1700223,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,2,17,4,165.2477551,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,2,18,4,28.9673253000001,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,2,19,4,4.17572990000008,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,2,20,4,12.6714547000001,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,2,21,4,180,0
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,4,118.1070145,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,4,7.00224419999995,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,4,10.5387559000001,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,4,13.4462424000003,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,4,20.0667870000002,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,5,180,0
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,5,45.5357223,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,5,65.6944057,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,1,4,5,26.6422737,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,1,5,5,86.8535271,1
"Exp2_S1","RF0A0",1,0,0,7.22,1,6,5,180,0
"Exp2_S1","RF4A2",3,4,0.1,6.83,1,7,5,21.3463538,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,1,8,5,180,0
"Exp2_S1","RF3A5",6,3,0.25,6.53,1,9,5,180,0
"Exp2_S1","RF3A2",2,3,0.1,6.72,1,10,5,180,0
"Exp2_S1","RF5A2",4,5,0.1,6.97,1,11,5,180,0
"Exp2_S1","RF3A10",10,3,0.5,6.99,1,12,5,180,0
"Exp2_S1","RF8A10",13,8,0.5,13.67,1,13,5,3.90427950000003,1
"Exp2_S1","RF0A0",1,0,0,7.22,2,14,5,10.0722839,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,2,15,5,7.49895360000005,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,2,16,5,180,0
"Exp2_S1","RF8A2",5,8,0.1,7.52,2,17,5,180,0
"Exp2_S1","RF4A10",11,4,0.5,8.2,2,18,5,37.2613780000001,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,2,19,5,147.5674682,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,2,20,5,180,0
"Exp2_S1","RF5A10",12,5,0.5,9.5,2,21,5,180,0
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,5,180,0
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,5,180,0
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,5,31.2268147999998,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,5,180,0
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,5,45.6675445999999,1
"Exp2_S12","RF5A10",12,5,0.5,9.5,1,1,1,3.040385,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,1,2,1,1.52061320000001,1
"Exp2_S12","RF4A10",11,4,0.5,8.2,1,3,1,2.14328370000001,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,1,4,1,1.59184429999999,1
"Exp2_S12","RF3A10",10,3,0.5,6.99,1,5,1,1.60167840000008,1
"Exp2_S12","RF4A5",7,4,0.25,7.04,1,6,1,2.90791910000007,1
"Exp2_S12","RF5A2",4,5,0.1,6.97,1,7,1,0.893085199999973,1
"Exp2_S12","RF8A2",5,8,0.1,7.52,1,8,1,3.0655878,1
"Exp2_S12","RF8A5",9,8,0.25,9.72,1,9,1,4.59610859999998,1
"Exp2_S12","RF0A0",1,0,0,7.22,1,10,1,1.53395730000011,1
"Exp2_S12","RF8A10",13,8,0.5,13.67,1,11,1,1.23476949999986,1
"Exp2_S12","RF4A2",3,4,0.1,6.83,1,12,1,1.79350879999993,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,1,13,1,3.13142360000006,1
"Exp2_S12","RF5A5",8,5,0.25,7.64,2,14,1,1.43658189999996,1
"Exp2_S12","RF3A2",2,3,0.1,6.72,2,15,1,2.11668719999989,1
"Exp2_S12","RF3A5",6,3,0.25,6.53,2,16,1,1.16855620000024,1
